potential_pair,period_days,corr_start_date,corr_end_date,coint_stasn,coint_pval,adf_pval
000001.SS:BMY,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.004799579525818635,0.00012547436939769444
000001.SS:BRK-B,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0010956637159631499,0.00010970217773578503
000001.SS:BRK-B,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.005712108106724959,0.00028487477859730654
000001.SS:CB,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.001992200857682721,0.00014589618271816223
000001.SS:CCI,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.004140766635313435,0.00013081056092936863
000001.SS:CI,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0045434189616682325,0.00020902370782005354
000001.SS:CMCSA,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0003997410738000814,0.00011508530289492145
000001.SS:CNC,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0023513939254230015,0.0001793742324088762
000001.SS:CNC,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.00025569304460560077,0.0001474763606408539
000001.SS:CNC,91,2024-09-13 00:00:00,2025-01-17 00:00:00,True,0.0006398311831735541,0.00034119382986088536
000001.SS:CNC,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.005530598009820523,0.00037950256603890773
000001.SS:CNMD,81,2024-09-27 00:00:00,2025-01-17 00:00:00,True,0.0012331471320958345,0.0027791737473524
000001.SS:CNMD,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0013648652221516157,6.619946641900655e-05
000001.SS:CRM,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.005477961065226382,3.772027086413751e-05
000001.SS:CRSP,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0006145936002657837,9.601081475435392e-05
000001.SS:CSCO,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0038990838904816904,0.00013590536152865363
000001.SS:CSX,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0005465070550582669,0.00012273405696490336
000001.SS:CVX,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.002350949394052699,0.00016306558675513333
000001.SS:CVX,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.001990935624583548,0.00033262224917630657
000001.SS:DHR,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.002720284223319846,0.00033882273019924885
000001.SS:DIS,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0009326716766416145,8.167800410920027e-05
000001.SS:DUK,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0009529439654684418,0.00014518548343383914
000001.SS:ECL,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0023774548232552645,0.0001260526053113218
000001.SS:EGAN,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0016984728449063369,0.0001398387249580854
000001.SS:EL,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0012796121383846582,0.00023655562949616863
000001.SS:EL,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.004241457400615,0.0005552808126687181
000001.SS:EMR,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.005566085103346118,6.471483473903097e-05
000001.SS:EOG,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0027527396599942707,0.000231523659088599
000001.SS:ERIC,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,5.7963899295230115e-05,9.966257755329657e-05
000001.SS:ERIC,91,2024-09-13 00:00:00,2025-01-17 00:00:00,True,0.0002705217762763451,0.0002774791359620663
000001.SS:ERIC,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.002708519487344585,0.00033602294598910514
000001.SS:ERIC,95,2024-09-09 00:00:00,2025-01-17 00:00:00,True,0.004814179169545198,0.004621159607538564
000001.SS:EURUSD=X,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.004999506248327714,0.00013720048873915505
000001.SS:EXAS,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0027872296525654284,0.0001790009978671587
000001.SS:EXEL,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0016170508577038284,0.00011499925344499225
000001.SS:EXEL,91,2024-09-13 00:00:00,2025-01-17 00:00:00,True,0.000925577431720261,0.0002518304875586276
000001.SS:EXEL,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.005550889729341576,0.0003139323074652002
000001.SS:FOLD,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0021689589233322795,0.0001377679815410866
000001.SS:FSLR,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.0005959972137657183,7.43598296655248e-05
000001.SS:FSLR,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.003186542262257405,0.00041478829449405075
000001.SS:GBPUSD=X,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.005293864932805998,0.00013707989347551283
000001.SS:GD,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.001698358835717756,0.0002681634162819357
000001.SS:GE,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0008860715089573873,0.0002681644746417413
000001.SS:GLPG,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0028120514763710675,0.0001348217525267578
000001.SS:GOOG,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0048763724126508305,0.00017108546762127077
000001.SS:GRPN,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0015884450352863571,0.00013764972917529035
000001.SS:HAE,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0002935281095371949,8.212638849178904e-05
000001.SS:HAE,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.004228942810670688,6.201249490470251e-05
000001.SS:HD,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.001310924508644337,9.932389595248447e-05
000001.SS:HIMX,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0026091765396329316,0.00014374235259317412
000001.SS:HON,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0002609405198458334,6.404165788544372e-05
000001.SS:HRTX,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.00022514350987725272,0.00013947953000322902
000001.SS:IART,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0004464615585913121,0.00011190603581628877
000001.SS:IBM,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.001601591843456527,0.0001687876508914087
000001.SS:IMAX,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0014008523072323485,0.00010895393318535036
000001.SS:INCY,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0021931224544585637,0.00010928970362981497
000001.SS:INTC,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0013739853152308474,0.00012459776352979435
000001.SS:INTC,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.00641123940973692,8.79549775786414e-05
000001.SS:INTU,75,2024-10-07 00:00:00,2025-01-17 00:00:00,True,0.0011746176053326536,0.004639319180258651
000001.SS:INTU,81,2024-09-27 00:00:00,2025-01-17 00:00:00,True,0.0016266558926239085,0.0006082710179212985
000001.SS:INTU,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,2.0901516571659046e-05,2.1279864038460806e-06
000001.SS:INTU,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.0005686607064936436,8.357599051412135e-07
000001.SS:INTU,91,2024-09-13 00:00:00,2025-01-17 00:00:00,True,0.004168983957624545,2.240984214590238e-05
000001.SS:INTU,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.005859917932357017,8.545389797469624e-05
000001.SS:IRTC,15,2024-12-30 00:00:00,2025-01-17 00:00:00,True,3.790006366180556e-08,7.57249576553278e-05
000001.SS:IRTC,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0026198970221618183,0.00017434004586248245
000001.SS:IRWD,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0019292271768563104,0.0001399907975658183
000001.SS:ISRG,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.003392419738025609,0.00024543768609690356
000001.SS:ITW,81,2024-09-27 00:00:00,2025-01-17 00:00:00,True,0.0017762406892975807,0.00202448341860092
000001.SS:ITW,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.00021633077124507923,4.448334945400736e-05
000001.SS:ITW,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.0027520408480603744,3.3862980206243174e-05
000001.SS:JAZZ,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0006522337891396229,9.13344091293589e-05
000001.SS:JAZZ,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.00038704395788904483,7.194089970035861e-05
000001.SS:JNJ,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0010020803547342583,0.00016352303281739016
000001.SS:JPM,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.002459786566956943,0.0001508654313401105
000001.SS:JPYUSD=X,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0025713380731170986,0.0001372617650888379
000001.SS:KO,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0036342675574456487,0.00015425367019259153
000001.SS:LDOS,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.002304089809237499,0.00014576731586320675
000001.SS:LIN,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.003896614277544031,0.00023379888593345205
000001.SS:LIVN,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.001574131269993016,0.00013392175245725894
000001.SS:LLY,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0016729967750077493,0.0003163850694745759
000001.SS:LMT,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0013243291311926158,0.00033564687079255096
000001.SS:LOW,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0017137822584074522,0.00015967414051380735
000001.SS:LRCX,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.00030831948741965475,0.00010068663661118815
000001.SS:LRCX,91,2024-09-13 00:00:00,2025-01-17 00:00:00,True,0.00038972093709054706,0.00030989477346271647
000001.SS:LRCX,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.004337055059957822,0.0003717152232456698
000001.SS:LSCC,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.00154598223248995,0.000114096594028741
000001.SS:LSCC,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.00397188922043039,7.7771329468256e-05
000001.SS:LSCC,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.0007493575767337904,0.0003070744523792726
000001.SS:MA,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.004345588472579026,5.599425368506034e-05
000001.SS:MA,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.0030443890087615646,0.0002639740769819782
000001.SS:MCD,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.001676768891292365,0.00012498253986463703
000001.SS:MDB,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0007065882181330794,3.388229645836178e-05
000001.SS:MDLZ,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.00545790384312862,0.00013684112211372954
000001.SS:MDRX,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.00011019513842027655,0.0001263741862886901
000001.SS:MDRX,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.0025786858293283936,9.250347944129446e-05
000001.SS:MDT,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0013259880068544128,0.00016579020111765603
000001.SS:MDXG,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0038864401625106197,0.00012511880716086234
000001.SS:MEDP,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.001516620376282011,0.0001233169578922873
000001.SS:MEDP,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.003751930460640995,0.00027298541777782454
000001.SS:META,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.002098709209651215,0.00012153816393479106
000001.SS:MMM,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.00028256494148043264,0.00018348032076031205
000001.SS:MO,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0006316750713517427,0.00010590852305564906
000001.SS:MO,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.0027269262921794817,7.51124405404443e-05
000001.SS:MO,91,2024-09-13 00:00:00,2025-01-17 00:00:00,True,0.006561811657873612,0.00023838950924500864
000001.SS:MRVL,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0047768984709523465,0.0002278758923196109
000001.SS:MSFT,81,2024-09-27 00:00:00,2025-01-17 00:00:00,True,0.005747968812551421,0.002256412498804134
000001.SS:MSFT,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0002609878995359852,2.739863106571175e-05
000001.SS:MTCH,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0015482078588757394,0.00015911389142536232
000001.SS:MTCH,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.004469732816253788,0.0001236973894976913
000001.SS:MTCH,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.006408396151796715,0.00036644046212125386
000001.SS:NBIX,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0020191308692074795,0.00017634858370610702
000001.SS:NEE,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0017688672524749764,0.00015435854773931278
000001.SS:NEO,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.00017944218517556808,0.00011299733795757412
000001.SS:NEO,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.0055118803287082995,8.584846057098155e-05
000001.SS:NFLX,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0008834578441911497,0.0016432122283197394
000001.SS:NKE,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.0027360099151525234,0.00032237353033854536
000001.SS:NNDM,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0015749299209266967,0.0001374395160421035
000001.SS:NOC,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0011372341667776154,8.952064569611102e-05
000001.SS:NOW,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0013677641962201057,0.0019786335157235212
000001.SS:NVCR,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0031321440864384696,0.00012375927831595351
000001.SS:NVDA,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0011266320404138134,0.00011768299077342163
000001.SS:OPK,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,2.1589723152119508e-05,0.0001361076255245625
000001.SS:ORCL,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.00034693068187259085,5.3002537847614656e-05
000001.SS:PACB,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0007978079195319873,0.00013391806608611855
000001.SS:PACB,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.005698852748297057,9.887355735151035e-05
000001.SS:PEP,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0024055249094074877,0.0001315668458692169
000001.SS:PFE,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.000819581106754597,0.00014933867662983005
000001.SS:PG,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.001305727907154449,8.429218250069858e-05
000001.SS:PLD,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.001967722837141084,0.00015208795326174826
000001.SS:PNC,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.000818711087044979,6.162571014015575e-05
000001.SS:PNC,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.005421330668140061,4.8713268860237275e-05
000001.SS:PNC,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.003258985883061841,0.00023231106772050313
000001.SS:PTCT,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0012880315081611965,0.00010260734995211442
000001.SS:PYPL,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0037241017843457846,0.00012381698368535516
000001.SS:QCOM,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0013595221900886962,0.00018367425202893458
000001.SS:QCOM,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.005250659618864197,0.00012622727826405524
000001.SS:QLYS,81,2024-09-27 00:00:00,2025-01-17 00:00:00,True,0.00576932028827334,0.002149886176305883
000001.SS:QLYS,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0008570015655800478,3.453441873399068e-05
000001.SS:QLYS,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.0030478230136114465,2.5022642118249653e-05
000001.SS:QLYS,91,2024-09-13 00:00:00,2025-01-17 00:00:00,True,0.006174791166730471,0.00012221102799889793
000001.SS:QLYS,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.005484002954703149,0.00022892187380982773
000001.SS:QURE,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0024763408850410396,0.00014588223318481457
000001.SS:RTX,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0012107336865600376,0.00019155774245845926
000001.SS:SBUX,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.006532213985689475,8.216286121613303e-05
000001.SS:SCHW,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.00037072063717955234,8.531221068044009e-05
000001.SS:SCHW,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.006477155846540363,6.600792635160834e-05
000001.SS:SCHW,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.0024555811930349856,0.0002715563916964291
000001.SS:SEDG,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.000493777416473975,0.0001465838229693109
000001.SS:SEDG,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,9.363912449994017e-06,0.00011992777569120893
000001.SS:SEDG,91,2024-09-13 00:00:00,2025-01-17 00:00:00,True,2.7897459015391893e-05,0.00032043605680850203
000001.SS:SEDG,95,2024-09-09 00:00:00,2025-01-17 00:00:00,True,0.0003412060685302518,0.004759288725380289
000001.SS:SMCI,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0017816156590435446,0.00022120822622201706
000001.SS:SO,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0005610331402589821,0.00015465915409820213
000001.SS:SPGI,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0018684857886728263,0.00013604472514830112
000001.SS:SRPT,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.001739180291162028,0.00015025069372286596
000001.SS:SYK,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.002653476767151036,3.933608216785169e-05
000001.SS:SYK,91,2024-09-13 00:00:00,2025-01-17 00:00:00,True,0.005692384506826378,0.00015906796674356214
000001.SS:SYK,93,2024-09-11 00:00:00,2025-01-17 00:00:00,True,0.005925467409975746,0.0002552933716951789
000001.SS:SYNA,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.001797898110732749,0.0001265100384047878
000001.SS:SYNA,89,2024-09-17 00:00:00,2025-01-17 00:00:00,True,0.005728689790003028,8.55705305554624e-05
000001.SS:SYY,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,3.4802145419959376e-05,0.00010709889296746791
000001.SS:T,91,2024-09-13 00:00:00,2025-01-17 00:00:00,True,0.0010629044749317909,0.00027230850497395677
000001.SS:UCTT,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0017177614924658066,0.00014290768115742854
000001.SS:UNH,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.001527437591291413,0.00011594615816136373
000001.SS:UPS,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.001547644299811738,0.0001278106801374789
000001.SS:USB,85,2024-09-23 00:00:00,2025-01-17 00:00:00,True,0.0012070511163231777,0.00011562532572882422
