Symbol,LongName,Groups,Trend,WklyPrdStg,DlyPrdStg,wTop10Coint,dTop10Coint,wTop10Corr,wTop10xCorr,dTop10Corr,dTop10xCorr
EOG,"EOG Resources, Inc.", ,W:f - D:f,0.3291,0.2012,"[[""ACAD"", ""1-F | 0.00234 | 0.58886""], [""VZ"", ""1-F | 0.01848 | 0.60690""], [""INTC"", ""1-F | 0.03956 | 0.83408""], [""GLPG"", ""1-F | 0.05456 | 0.83173""], [""BAX"", ""1-F | 0.05517 | 0.87660""], [""NEO"", ""1-F | 0.06188 | 0.59794""], [""XOM"", ""1-F | 0.07395 | 0.02017""], [""EXAS"", ""1-F | 0.07826 | 0.53693""], [""MDT"", ""1-F | 0.08127 | 0.69733""], [""QURE"", ""1-F | 0.08528 | 0.65327""], [""ERIC"", ""1-F | 0.09964 | 0.42869""]]","[[""NEOG"", ""1-F | 0.01917 | 0.15900""], [""GLPG"", ""1-F | 0.02290 | 0.16588""], [""IRWD"", ""1-F | 0.02514 | 0.22756""], [""GRPN"", ""1-F | 0.02917 | 0.16112""], [""SRCL"", ""1-F | 0.04997 | 0.40411""], [""ADM"", ""1-F | 0.05033 | 0.01702""], [""PLD"", ""1-F | 0.05933 | 0.47193""], [""ADBE"", ""1-F | 0.06387 | 0.39079""], [""TRV"", ""1-F | 0.06999 | 0.41315""], [""WM"", ""1-F | 0.07113 | 0.00199""], [""CSX"", ""1-F | 0.07329 | 0.18970""]]","[[""XAE=F"", 0.788], [""XOM"", 0.67825], [""CVX"", 0.64908], [""^XAX"", 0.5884], [""CAT"", 0.44772], [""GD"", 0.42117], [""ADM"", 0.40643], [""EMR"", 0.40349], [""XAB=F"", 0.39692], [""^NYA"", 0.39571], [""AIG"", 0.38772]]","[[""JPYUSD=X"", -0.25328], [""ZM"", -0.21118], [""FXP"", -0.17669], [""CCI"", -0.14398], [""VZ"", -0.13927], [""NEO"", -0.11978], [""MASI"", -0.11604], [""GLPG"", -0.10959], [""QURE"", -0.08083], [""BAX"", -0.07943], [""MDT"", -0.07752]]","[[""XAE=F"", 0.66377], [""XOM"", 0.58261], [""CVX"", 0.54623], [""^XAX"", 0.41666], [""CAT"", 0.32747], [""AIG"", 0.31638], [""GE"", 0.2876], [""SCHW"", 0.27595], [""AXP"", 0.27321], [""ADM"", 0.27192], [""^NYA"", 0.27063]]","[[""FXP"", -0.22748], [""PACB"", -0.18555], [""CNMD"", -0.1614], [""INTC"", -0.14863], [""FOLD"", -0.13082], [""MDB"", -0.13072], [""VRSN"", -0.12983], [""IART"", -0.12541], [""NKE"", -0.11979], [""ACN"", -0.1148], [""ADBE"", -0.11089]]"
ERIC,Telefonaktiebolaget LM Ericsson (publ), ,W:f - D:f,0.2349,0.3156,"[[""DIS"", ""1-F | 0.00870 | 0.32830""], [""PYPL"", ""1-F | 0.01992 | 0.49878""], [""MDT"", ""1-F | 0.06514 | 0.30426""], [""XOM"", ""1-F | 0.08043 | 0.75973""], [""NEO"", ""1-F | 0.08531 | 0.40349""], [""XAE=F"", ""1-F | 0.09092 | 0.66360""], [""EOG"", ""1-F | 0.10908 | 0.42869""], [""MTCH"", ""1-F | 0.11465 | 0.61545""], [""XNCR"", ""1-F | 0.13323 | 0.01691""], [""CVX"", ""1-F | 0.16041 | 0.42484""], [""EGAN"", ""1-F | 0.18386 | 0.00233""]]","[[""ISRG"", ""1-F | 0.00059 | 0.94126""], [""T"", ""1-F | 0.00837 | 0.34601""], [""^GSPC"", ""1-F | 0.02197 | 0.50099""], [""BRK-B"", ""1-F | 0.02862 | 0.14103""], [""EL"", ""1-F | 0.03679 | 0.89694""], [""SMCI"", ""1-F | 0.04748 | 0.69981""], [""^DJI"", ""1-F | 0.05639 | 0.50888""], [""ORCL"", ""1-F | 0.05890 | 0.61382""], [""AXP"", ""1-F | 0.06613 | 0.57025""], [""INCY"", ""1-F | 0.08494 | 0.57546""], [""WOLF"", ""1-F | 0.08548 | 0.84496""]]","[[""MDT"", 0.43809], [""MMM"", 0.43041], [""APTV"", 0.41113], [""PYPL"", 0.40314], [""NVCR"", 0.38104], [""IART"", 0.37911], [""FXI"", 0.35815], [""CMCSA"", 0.35695], [""DIS"", 0.35112], [""ECL"", 0.34242], [""WOLF"", 0.34001]]","[[""FXP"", -0.19729], [""EOG"", -0.07302], [""XOM"", -0.06873], [""CVX"", -0.04465], [""XAE=F"", -0.03764], [""LLY"", -0.01976], [""SMCI"", -0.01632], [""FSLR"", -0.00396], [""ALKS"", 0.01417], [""MRK"", 0.01482], [""GILD"", 0.0216]]","[[""^DJI"", 0.54892], [""^NYA"", 0.51093], [""^GSPC"", 0.49229], [""MMM"", 0.44168], [""IBM"", 0.42778], [""XAI=F"", 0.42476], [""XAU=F"", 0.42004], [""ORCL"", 0.4125], [""HD"", 0.4118], [""FXI"", 0.41013], [""BLK"", 0.40747]]","[[""FXP"", -0.41283], [""CLDX"", -0.17907], [""MRK"", -0.16962], [""LRCX"", -0.15386], [""SEDG"", -0.12434], [""EL"", -0.11931], [""IRTC"", -0.10815], [""APTV"", -0.10798], [""ALGM"", -0.07753], [""CNC"", -0.07351], [""ASND"", -0.07258]]"
EURUSD=X,EUR/USD,I:EURO,W:f - D:f,0.0744,0.0777,"[[""YY"", ""1-F | 0.00746 | 0.39272""], [""OPK"", ""1-F | 0.03206 | 0.12450""], [""NOC"", ""1-F | 0.04615 | 0.48109""], [""BB"", ""1-F | 0.05872 | 0.74498""], [""CVX"", ""1-F | 0.05950 | 0.36147""], [""KO"", ""1-F | 0.06694 | 0.26102""], [""LMT"", ""1-F | 0.06914 | 0.30694""], [""ZM"", ""1-F | 0.07395 | 0.47541""], [""FXI"", ""1-F | 0.08898 | 0.50335""], [""XAU=F"", ""1-F | 0.09250 | 0.54830""], [""GBPUSD=X"", ""1-F | 0.10274 | 0.00627""]]","[[""HUBS"", ""1-F | 0.03655 | 0.74473""], [""TMO"", ""1-F | 0.05483 | 0.23207""], [""DHR"", ""1-F | 0.06490 | 0.25068""], [""PEP"", ""1-F | 0.07984 | 0.85065""], [""MRVL"", ""1-F | 0.08907 | 0.99823""], [""MDLZ"", ""1-F | 0.10091 | 0.86513""], [""MASI"", ""1-F | 0.11105 | 0.85505""], [""CCI"", ""1-F | 0.15092 | 0.84928""], [""BB"", ""1-F | 0.20620 | 0.87400""], [""PFE"", ""1-F | 0.20738 | 0.16402""], [""AMZN"", ""1-F | 0.25792 | 0.66706""]]","[[""GBPUSD=X"", 0.60171], [""FXI"", 0.4018], [""JPYUSD=X"", 0.36726], [""BIDU"", 0.33237], [""ERIC"", 0.31553], [""YY"", 0.29782], [""BB"", 0.29315], [""MMM"", 0.29208], [""OPK"", 0.29141], [""ZM"", 0.29041], [""NEOG"", 0.28528]]","[[""NOC"", -0.15944], [""WM"", -0.13724], [""CNC"", -0.11229], [""PEP"", -0.11066], [""FXP"", -0.11019], [""QLYS"", -0.10892], [""CVX"", -0.10706], [""SO"", -0.10405], [""AMGN"", -0.10305], [""LMT"", -0.10258], [""UNH"", -0.10253]]","[[""JPYUSD=X"", 0.59128], [""NEOG"", 0.18426], [""PLD"", 0.18365], [""CI"", 0.17968], [""TMO"", 0.16931], [""GBPUSD=X"", 0.16795], [""CCI"", 0.16484], [""MTCH"", 0.16], [""DHR"", 0.15825], [""PFE"", 0.15687], [""LIN"", 0.15022]]","[[""SCHW"", -0.2492], [""MRVL"", -0.20485], [""CLS"", -0.19498], [""AAOI"", -0.19168], [""CRM"", -0.19084], [""MDXG"", -0.1893], [""HUBS"", -0.16945], [""XNCR"", -0.16613], [""HIMX"", -0.16463], [""MASI"", -0.16081], [""CVX"", -0.16071]]"
EXAS,Exact Sciences Corporation, ,W:f - D:f,0.0570,0.1108,"[[""NEO"", ""1-F | 0.01584 | 0.01876""], [""EOG"", ""1-F | 0.02882 | 0.53693""], [""ERIC"", ""1-F | 0.03165 | 0.10848""], [""XNCR"", ""1-F | 0.03496 | 0.06468""], [""DIS"", ""1-F | 0.03775 | 0.04264""], [""XAE=F"", ""1-F | 0.05143 | 0.71994""], [""CMCSA"", ""1-F | 0.05219 | 0.05428""], [""AMX"", ""1-F | 0.06336 | 0.17753""], [""MDT"", ""1-F | 0.06533 | 0.02742""], [""CVX"", ""1-F | 0.06588 | 0.53006""], [""GD"", ""1-F | 0.07020 | 0.71033""]]","[[""MCD"", ""1-F | 0.10471 | 0.19107""], [""SYY"", ""1-F | 0.10564 | 0.07865""], [""QCOM"", ""1-F | 0.11382 | 0.39212""], [""MDT"", ""1-F | 0.12388 | 0.07302""], [""SBUX"", ""1-F | 0.14874 | 0.03727""], [""HIMX"", ""1-F | 0.16536 | 0.31039""], [""ANTM.JK"", ""1-F | 0.16751 | 0.25698""], [""SRPT"", ""1-F | 0.17684 | 0.25857""], [""UCTT"", ""1-F | 0.18042 | 0.36297""], [""ITW"", ""1-F | 0.19538 | 0.07096""], [""MSFT"", ""1-F | 0.22526 | 0.10813""]]","[[""NVCR"", 0.4389], [""NEO"", 0.42652], [""PYPL"", 0.42272], [""PACB"", 0.41936], [""CRSP"", 0.35944], [""NEOG"", 0.35876], [""MASI"", 0.34761], [""PTCT"", 0.34602], [""INTC"", 0.34483], [""ZM"", 0.34159], [""MDT"", 0.33959]]","[[""FXP"", -0.26603], [""XOM"", -0.08363], [""MO"", -0.08059], [""CVX"", -0.06863], [""XAE=F"", -0.04444], [""CB"", -0.03897], [""EOG"", -0.03805], [""SRCL"", -0.03365], [""PEP"", -0.03131], [""TEVA"", -0.02691], [""CI"", -0.01877]]","[[""MTCH"", 0.27975], [""MCD"", 0.27855], [""GLPG"", 0.25146], [""MDT"", 0.25051], [""SBUX"", 0.24695], [""XAB=F"", 0.22884], [""ALKS"", 0.22501], [""GILD"", 0.2171], [""HD"", 0.21681], [""NEO"", 0.20853], [""YY"", 0.20801]]","[[""CVX"", -0.11396], [""HAE"", -0.10733], [""FXP"", -0.09516], [""SRPT"", -0.07598], [""MDRX"", -0.07402], [""NBIX"", -0.07212], [""CLS"", -0.06956], [""SRCL"", -0.0691], [""HIMX"", -0.05603], [""SCHW"", -0.05243], [""UCTT"", -0.05158]]"
EXEL,"Exelixis, Inc.",T: Long-10/16,W:f - D:f,0.1826,0.2596,"[[""GE"", ""1-F | 0.01599 | 0.84170""], [""IBM"", ""1-F | 0.01788 | 0.87851""], [""IART"", ""1-F | 0.02586 | 0.92186""], [""AAOI"", ""1-F | 0.02864 | 0.03515""], [""CLS"", ""1-F | 0.03681 | 1.00000""], [""PFE"", ""1-F | 0.04893 | 0.77848""], [""AVGO"", ""1-F | 0.05026 | 1.00000""], [""META"", ""1-F | 0.05158 | 0.98418""], [""BKNG"", ""1-F | 0.05270 | 0.98956""], [""MDXG"", ""1-F | 0.05279 | 0.00301""], [""CNMD"", ""1-F | 0.07157 | 0.45139""]]","[[""MRK"", ""1-F | 0.00237 | 0.96606""], [""USB"", ""1-F | 0.00266 | 0.10981""], [""NOW"", ""1-F | 0.01458 | 0.83741""], [""APTV"", ""1-F | 0.01970 | 0.83136""], [""XAF=F"", ""1-F | 0.02079 | 0.59528""], [""CSCO"", ""1-F | 0.03059 | 0.00780""], [""NFLX"", ""1-F | 0.03523 | 0.72920""], [""AXON"", ""1-F | 0.04422 | 0.89719""], [""PYPL"", ""1-F | 0.04969 | 0.34544""], [""IBM"", ""1-F | 0.05963 | 0.53303""], [""IMAX"", ""1-F | 0.06708 | 0.24950""]]","[[""INCY"", 0.26089], [""ALKS"", 0.26073], [""IBM"", 0.25078], [""AAOI"", 0.23873], [""VRTX"", 0.23294], [""MDXG"", 0.22005], [""CLS"", 0.21931], [""TEVA"", 0.21433], [""BKNG"", 0.21389], [""GILD"", 0.21091], [""META"", 0.20756]]","[[""ALGM"", -0.09776], [""EL"", -0.08906], [""FXP"", -0.08375], [""NKE"", -0.06491], [""ANTM.JK"", -0.04126], [""CCI"", -0.03728], [""ADM"", -0.03657], [""JPYUSD=X"", -0.03156], [""SBUX"", -0.0192], [""CNC"", -0.01889], [""IART"", -0.01474]]","[[""INCY"", 0.42653], [""PNC"", 0.4022], [""XAF=F"", 0.3991], [""EMR"", 0.39405], [""GILD"", 0.38497], [""AXP"", 0.35654], [""XAI=F"", 0.35629], [""PYPL"", 0.35479], [""^NYA"", 0.35444], [""USB"", 0.35041], [""MASI"", 0.34393]]","[[""FXP"", -0.30245], [""SMCI"", -0.22943], [""LRCX"", -0.21179], [""CLDX"", -0.18521], [""HRTX"", -0.17412], [""EURUSD=X"", -0.15017], [""AMX"", -0.14679], [""INTC"", -0.14111], [""MRK"", -0.1263], [""EL"", -0.12108], [""PEP"", -0.11994]]"
FOLD,"Amicus Therapeutics, Inc.",T:Long-10/18,W:f - D:f,0.0430,0.2060,"[[""OPK"", ""0-T  | ""], [""INCY"", ""0-T  | ""], [""YY"", ""1-F | 0.00026 | 0.39685""], [""DUK"", ""1-F | 0.00045 | 0.30581""], [""PSA"", ""1-F | 0.00090 | 0.47281""], [""SO"", ""1-F | 0.00136 | 0.84047""], [""PNC"", ""1-F | 0.00196 | 0.37346""], [""AXP"", ""1-F | 0.00207 | 0.99445""], [""AON"", ""1-F | 0.00212 | 0.75209""], [""WM"", ""1-F | 0.00224 | 0.85939""], [""CB"", ""1-F | 0.00260 | 0.92245""]]","[[""GOOGL"", ""1-F | 0.00538 | 0.73042""], [""GOOG"", ""1-F | 0.00550 | 0.67805""], [""PLD"", ""1-F | 0.03401 | 0.51667""], [""CSX"", ""1-F | 0.05339 | 0.00861""], [""MTCH"", ""1-F | 0.10928 | 0.02084""], [""GLPG"", ""1-F | 0.11411 | 0.14708""], [""PTCT"", ""1-F | 0.12053 | 0.75564""], [""BAC"", ""1-F | 0.12161 | 0.66930""], [""SYY"", ""1-F | 0.13108 | 0.02056""], [""AMZN"", ""1-F | 0.13538 | 0.66781""], [""SCHW"", ""1-F | 0.14517 | 0.36109""]]","[[""XNCR"", 0.33992], [""PTCT"", 0.33593], [""HRTX"", 0.3101], [""ACAD"", 0.29446], [""IRTC"", 0.28394], [""SRPT"", 0.28372], [""EURUSD=X"", 0.28047], [""GLPG"", 0.27962], [""CRSP"", 0.27684], [""BIDU"", 0.27257], [""JAZZ"", 0.2637]]","[[""FXP"", -0.15802], [""DUK"", -0.12397], [""SO"", -0.09093], [""ANTM.JK"", -0.07557], [""ALL"", -0.05335], [""PEP"", -0.0533], [""KO"", -0.05299], [""LMT"", -0.0516], [""MDLZ"", -0.0467], [""CB"", -0.04604], [""CVX"", -0.03803]]","[[""ACAD"", 0.43345], [""CLDX"", 0.31487], [""IRWD"", 0.29841], [""GLPG"", 0.29762], [""CNMD"", 0.28848], [""SEDG"", 0.28435], [""PLD"", 0.28069], [""BAX"", 0.27963], [""IONS"", 0.26955], [""ADBE"", 0.25412], [""ACN"", 0.23679]]","[[""GC=F"", -0.202], [""XOM"", -0.19335], [""ALL"", -0.18501], [""GOOG"", -0.14647], [""XAE=F"", -0.13991], [""EOG"", -0.13082], [""GOOGL"", -0.12739], [""TEVA"", -0.1249], [""MO"", -0.1205], [""NVDA"", -0.12041], [""AIG"", -0.11804]]"
FSLR,"First Solar, Inc.",,W:f - D:f,0.1000,0.1204,"[[""QLYS"", ""0-T  | ""], [""JPYUSD=X"", ""1-F | 0.00196 | 0.63211""], [""^XAX"", ""1-F | 0.00992 | 0.95322""], [""BRK-B"", ""1-F | 0.01983 | 0.19180""], [""LMT"", ""1-F | 0.02024 | 0.00164""], [""CB"", ""1-F | 0.02448 | 0.00944""], [""CI"", ""1-F | 0.02516 | 0.00125""], [""TRV"", ""1-F | 0.02629 | 0.05323""], [""INTC"", ""1-F | 0.02718 | 0.62834""], [""CAT"", ""1-F | 0.02900 | 0.04308""], [""BAX"", ""1-F | 0.03334 | 0.80132""]]","[[""SYY"", ""1-F | 0.05660 | 0.40048""], [""JAZZ"", ""1-F | 0.08251 | 0.43225""], [""CSX"", ""1-F | 0.15214 | 0.37869""], [""CL"", ""1-F | 0.15635 | 0.31597""], [""ASND"", ""1-F | 0.16025 | 0.43599""], [""PG"", ""1-F | 0.16703 | 0.23144""], [""INTU"", ""1-F | 0.18664 | 0.22404""], [""ACAD"", ""1-F | 0.19535 | 0.35041""], [""VRTX"", ""1-F | 0.19844 | 0.04874""], [""ADM"", ""1-F | 0.21547 | 0.24505""], [""QLYS"", ""1-F | 0.22421 | 0.33784""]]","[[""CAT"", 0.39975], [""BKNG"", 0.39436], [""XAB=F"", 0.39303], [""^NYA"", 0.38848], [""XAI=F"", 0.38307], [""LIN"", 0.38062], [""^XAX"", 0.37514], [""AXON"", 0.37237], [""^GSPC"", 0.3716], [""TXN"", 0.36881], [""EMR"", 0.36497]]","[[""FXP"", -0.34904], [""VZ"", -0.18504], [""BAX"", -0.15154], [""JPYUSD=X"", -0.14392], [""MO"", -0.1209], [""HRTX"", -0.11391], [""T"", -0.11294], [""GLPG"", -0.10466], [""SRCL"", -0.08273], [""YY"", -0.08098], [""INTC"", -0.0771]]","[[""TXN"", 0.35056], [""QCOM"", 0.32093], [""GE"", 0.27406], [""NEE"", 0.26157], [""^XAX"", 0.24468], [""FXI"", 0.23568], [""OPK"", 0.23562], [""XAB=F"", 0.22705], [""^NYA"", 0.21998], [""BCRX"", 0.21464], [""XAI=F"", 0.2119]]","[[""ABT"", -0.20927], [""FXP"", -0.19082], [""BAX"", -0.19023], [""VRSN"", -0.18119], [""ANTM.JK"", -0.16754], [""CMCSA"", -0.16614], [""MCD"", -0.16301], [""JAZZ"", -0.14142], [""UPS"", -0.13021], [""ACN"", -0.12872], [""JNJ"", -0.11594]]"
FXI,iShares China Large-Cap ETF,,W:f - D:f,0.1000,0.0976,"[[""NOC"", ""1-F | 0.00230 | 0.54702""], [""MRK"", ""1-F | 0.00335 | 0.73225""], [""JPYUSD=X"", ""1-F | 0.00396 | 0.50761""], [""YY"", ""1-F | 0.00985 | 0.20355""], [""^XAX"", ""1-F | 0.01130 | 0.96154""], [""KO"", ""1-F | 0.01229 | 0.70520""], [""CI"", ""1-F | 0.01262 | 0.53685""], [""CVX"", ""1-F | 0.01378 | 0.56774""], [""MCD"", ""1-F | 0.02277 | 0.74000""], [""PEP"", ""1-F | 0.02706 | 0.61799""], [""LMT"", ""1-F | 0.02714 | 0.40049""]]","[[""APD"", ""1-F | 0.00202 | 0.62918""], [""ORCL"", ""1-F | 0.00759 | 0.62638""], [""GC=F"", ""1-F | 0.03022 | 0.54900""], [""XAI=F"", ""1-F | 0.04646 | 0.29469""], [""RTX"", ""1-F | 0.04864 | 0.34630""], [""WMT"", ""1-F | 0.06418 | 0.91260""], [""CRSP"", ""1-F | 0.06733 | 0.66173""], [""EL"", ""1-F | 0.06799 | 0.89889""], [""BA"", ""1-F | 0.07052 | 0.41096""], [""SMCI"", ""1-F | 0.07677 | 0.79861""], [""^NYA"", ""1-F | 0.07724 | 0.24278""]]","[[""BIDU"", 0.60429], [""YY"", 0.52068], [""JD"", 0.49601], [""MOMO"", 0.4566], [""INTC"", 0.41623], [""EURUSD=X"", 0.4018], [""MMM"", 0.39356], [""NEOG"", 0.37702], [""BB"", 0.36616], [""GBPUSD=X"", 0.35898], [""ERIC"", 0.35815]]","[[""FXP"", -0.58606], [""LLY"", -0.14258], [""NOC"", -0.13612], [""UNH"", -0.12333], [""CNC"", -0.11173], [""ALL"", -0.11012], [""PEP"", -0.1098], [""SO"", -0.10858], [""MRK"", -0.09848], [""MCD"", -0.09518], [""CI"", -0.08883]]","[[""JD"", 0.67727], [""^NYA"", 0.46369], [""BIDU"", 0.46208], [""^GSPC"", 0.42572], [""XAU=F"", 0.42459], [""ERIC"", 0.41013], [""AAPL"", 0.4024], [""XAI=F"", 0.39787], [""^XAX"", 0.39325], [""^DJI"", 0.38633], [""CAT"", 0.37656]]","[[""FXP"", -0.80253], [""IONS"", -0.14754], [""CLDX"", -0.13542], [""ASND"", -0.12943], [""EGAN"", -0.12599], [""BAX"", -0.12239], [""IRTC"", -0.12186], [""CNC"", -0.11961], [""CNMD"", -0.1155], [""MRK"", -0.11521], [""ADBE"", -0.10216]]"
FXP,ProShares UltraShort FTSE China 50,,W:f - D:f,0.2430,0.1976,"[[""MOMO"", ""0-T  | ""], [""TXN"", ""1-F | 0.00031 | 0.34977""], [""ITW"", ""1-F | 0.00075 | 0.54499""], [""AAPL"", ""1-F | 0.00135 | 0.89801""], [""SPGI"", ""1-F | 0.00182 | 0.67211""], [""TSLA"", ""1-F | 0.00270 | 0.86380""], [""LOW"", ""1-F | 0.00292 | 0.67139""], [""QCOM"", ""1-F | 0.00320 | 0.48048""], [""NOW"", ""1-F | 0.00361 | 0.98595""], [""HON"", ""1-F | 0.00371 | 0.28032""], [""HD"", ""1-F | 0.00447 | 0.60783""]]","[[""GC=F"", ""1-F | 0.02093 | 0.53994""], [""ORCL"", ""1-F | 0.05934 | 0.62392""], [""PTCT"", ""1-F | 0.08261 | 0.71223""], [""META"", ""1-F | 0.08690 | 0.23235""], [""APD"", ""1-F | 0.08882 | 0.72835""], [""VSH"", ""1-F | 0.09162 | 0.40046""], [""CRSP"", ""1-F | 0.09545 | 0.02091""], [""GILD"", ""1-F | 0.11003 | 0.90051""], [""FXI"", ""1-F | 0.12383 | 0.63660""], [""XAI=F"", ""1-F | 0.13907 | 0.32053""], [""HRTX"", ""1-F | 0.13930 | 0.59275""]]","[[""T"", 0.1397], [""JPYUSD=X"", 0.1171], [""BFH"", 0.11633], [""GRPN"", 0.09974], [""CLSK"", 0.0831], [""MO"", 0.07726], [""IRWD"", 0.07518], [""ALKS"", 0.0716], [""SRCL"", 0.06743], [""AAOI"", 0.06294], [""OPK"", 0.05896]]","[[""FXI"", -0.58606], [""TXN"", -0.48087], [""^NYA"", -0.4693], [""^GSPC"", -0.46592], [""JD"", -0.46531], [""^DJI"", -0.44507], [""^IXIC"", -0.44285], [""XAB=F"", -0.43651], [""QCOM"", -0.41791], [""MA"", -0.41347], [""XAK=F"", -0.41185]]","[[""ANTM.JK"", 0.18297], [""EL"", 0.17009], [""CNMD"", 0.16825], [""ADBE"", 0.16161], [""MDB"", 0.15747], [""CRSP"", 0.14594], [""IONS"", 0.14564], [""CNC"", 0.1435], [""IART"", 0.14218], [""INTC"", 0.14137], [""PACB"", 0.13093]]","[[""FXI"", -0.80253], [""JD"", -0.58387], [""^GSPC"", -0.44817], [""ERIC"", -0.41283], [""XAU=F"", -0.39177], [""MOMO"", -0.38996], [""^NYA"", -0.38268], [""XAK=F"", -0.3762], [""NVDA"", -0.37563], [""^IXIC"", -0.37235], [""^DJI"", -0.3662]]"
GBPUSD=X,GBP/USD,I:GBP,W:f - D:f,0.0674,0.0569,"[[""SRCL"", ""1-F | 0.00535 | 0.04586""], [""BB"", ""1-F | 0.01333 | 0.75053""], [""EURUSD=X"", ""1-F | 0.01916 | 0.00627""], [""YY"", ""1-F | 0.02542 | 0.39337""], [""NEOG"", ""1-F | 0.03325 | 0.77163""], [""CVX"", ""1-F | 0.03954 | 0.36132""], [""MDXG"", ""1-F | 0.04175 | 0.03914""], [""OPK"", ""1-F | 0.04372 | 0.12745""], [""NOC"", ""1-F | 0.05809 | 0.48098""], [""MMM"", ""1-F | 0.06346 | 0.47785""], [""MRK"", ""1-F | 0.06789 | 0.58393""]]","[[""KO"", ""1-F | 0.00768 | 0.64840""], [""CL"", ""1-F | 0.02203 | 0.57159""], [""CCI"", ""1-F | 0.06502 | 0.84970""], [""AMGN"", ""1-F | 0.08535 | 0.70891""], [""LSCC"", ""1-F | 0.11368 | 0.56363""], [""DIS"", ""1-F | 0.14844 | 0.61933""], [""BB"", ""1-F | 0.14978 | 0.86145""], [""DHR"", ""1-F | 0.15629 | 0.25089""], [""VZ"", ""1-F | 0.15755 | 0.11627""], [""HUBS"", ""1-F | 0.16930 | 0.74468""], [""PFE"", ""1-F | 0.17439 | 0.16415""]]","[[""EURUSD=X"", 0.60171], [""FXI"", 0.35898], [""BIDU"", 0.35562], [""BB"", 0.32032], [""YY"", 0.31627], [""JD"", 0.30451], [""PACB"", 0.29431], [""HIMX"", 0.28627], [""NEOG"", 0.27808], [""OPK"", 0.27372], [""ERIC"", 0.26981]]","[[""FXP"", -0.18992], [""NOC"", -0.07253], [""MRK"", -0.07132], [""CNC"", -0.06899], [""UNH"", -0.05929], [""CVX"", -0.05431], [""LMT"", -0.04244], [""SO"", -0.03943], [""PEP"", -0.03897], [""WM"", -0.03658], [""PG"", -0.03481]]","[[""VRTX"", 0.26878], [""LLY"", 0.26064], [""PSA"", 0.23881], [""DHR"", 0.2238], [""LMT"", 0.22332], [""MTCH"", 0.21929], [""BCRX"", 0.21596], [""KO"", 0.20853], [""NOC"", 0.20774], [""SPGI"", 0.20311], [""ERIC"", 0.19507]]","[[""SEDG"", -0.17474], [""IRTC"", -0.1713], [""MDXG"", -0.16494], [""LSCC"", -0.16424], [""BB"", -0.15066], [""WOLF"", -0.14559], [""SYNA"", -0.13397], [""QLYS"", -0.13014], [""UPS"", -0.12742], [""INTC"", -0.12385], [""CVX"", -0.12212]]"
GC=F,Gold Feb 25,I:Gold-Fut,W:f - D:f,0.4070,0.2566,"[[""WMT"", ""1-F | 0.01456 | 0.97990""], [""NOW"", ""1-F | 0.01567 | 0.26387""], [""V"", ""1-F | 0.01992 | 0.96065""], [""MA"", ""1-F | 0.02159 | 0.94299""], [""CL"", ""1-F | 0.02189 | 0.98331""], [""LDOS"", ""1-F | 0.04005 | 0.98269""], [""SYK"", ""1-F | 0.05339 | 0.95779""], [""XAK=F"", ""1-F | 0.06971 | 0.14171""], [""AAPL"", ""1-F | 0.08578 | 0.96975""], [""ISRG"", ""1-F | 0.10403 | 0.89713""], [""AMGN"", ""1-F | 0.11838 | 0.97840""]]","[[""SYNA"", ""1-F | 0.00678 | 0.55834""], [""XAU=F"", ""1-F | 0.00838 | 0.48282""], [""ALGM"", ""1-F | 0.02298 | 0.56158""], [""MMM"", ""1-F | 0.02464 | 0.49448""], [""SMCI"", ""1-F | 0.03118 | 0.71884""], [""BA"", ""1-F | 0.05215 | 0.53526""], [""FXP"", ""1-F | 0.05413 | 0.53994""], [""CRSP"", ""1-F | 0.07036 | 0.58864""], [""FXI"", ""1-F | 0.07464 | 0.54900""], [""SRCL"", ""1-F | 0.07721 | 0.85891""], [""GILD"", ""1-F | 0.09702 | 0.48525""]]","[[""TMO"", 0.34537], [""SYK"", 0.34366], [""DHR"", 0.3433], [""CRM"", 0.33576], [""^NYA"", 0.33339], [""^IXIC"", 0.33308], [""NOW"", 0.33194], [""WM"", 0.32604], [""LDOS"", 0.32598], [""CAT"", 0.31754], [""^GSPC"", 0.31592]]","[[""FXP"", -0.32573], [""IRWD"", -0.20551], [""BFH"", -0.1936], [""GRPN"", -0.18136], [""HRTX"", -0.1694], [""ALKS"", -0.16181], [""BA"", -0.1508], [""LIVN"", -0.14358], [""NNDM"", -0.12671], [""IMAX"", -0.12304], [""USB"", -0.12226]]","[[""JPM"", 0.32321], [""RTX"", 0.30494], [""XAF=F"", 0.30441], [""ALL"", 0.28076], [""DUK"", 0.27422], [""NFLX"", 0.27031], [""AXP"", 0.26526], [""ORCL"", 0.26312], [""XAU=F"", 0.25994], [""JD"", 0.25081], [""XAI=F"", 0.24977]]","[[""PACB"", -0.3543], [""ACAD"", -0.32449], [""CRSP"", -0.29764], [""SYNA"", -0.29612], [""APTV"", -0.28934], [""WOLF"", -0.28254], [""MDB"", -0.27785], [""SEDG"", -0.26943], [""FXP"", -0.26366], [""NKE"", -0.24903], [""IRWD"", -0.2437]]"
